タイムスタンプ,匿名番号,今日の理解度,今日わかったこと・気づき,今日の学び方,質問・モヤモヤ
2026/08/31 14:51:48,S25,3,外様大名が江戸から遠くに置かれた理由がわかった,友だちと話して考えた,
2026/08/31 14:48:02,S26,3,将軍と大名の主従関係が土地のやりとりでできていると知った,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/08/31 14:49:32,S27,1,武家諸法度で大名を取りしまっていたことがわかった,先生に質問した,
2026/08/31 14:38:34,S28,4,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,ノートに自分でまとめ直した,
2026/08/31 14:50:22,S29,4,将軍と大名の主従関係が土地のやりとりでできていると知った,ノートに自分でまとめ直した,
2026/08/31 14:42:54,S30,3,幕府と藩で全国を治めるしくみが幕藩体制だとわかった,資料集・地図で調べた、前に習ったことと結びつけた,
2026/09/01 14:47:45,S01,3,参勤交代は大名にお金を使わせるしくみでもあったとわかった,前に習ったことと結びつけた、ノートに自分でまとめ直した,
2026/09/01 14:51:28,S02,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった,前に習ったことと結びつけた,今日の内容は現在の沖縄とつながりがありますか
2026/09/01 14:52:02,S03,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった,前に習ったことと結びつけた,
2026/09/01 14:40:20,S04,2,参勤交代は大名にお金を使わせるしくみでもあったとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/01 14:47:21,S05,4,大名行列にすごくお金がかかることがわかった,ノートに自分でまとめ直した,
2026/09/01 14:44:28,S06,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった,前に習ったことと結びつけた,
2026/09/01 14:45:31,S07,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった,友だちと話して考えた,
2026/09/01 14:44:10,S08,3,街道が発達したのは参勤交代のおかげでもあるとわかった,友だちと話して考えた,
2026/09/01 14:44:35,S09,3,参勤交代のしくみをやった,資料集・地図で調べた,
2026/09/01 14:47:26,S10,2,街道が発達したのは参勤交代のおかげでもあるとわかった,資料集・地図で調べた,
2026/09/01 14:43:23,S11,4,街道が発達したのは参勤交代のおかげでもあるとわかった,友だちと話して考えた,
2026/09/01 14:50:34,S12,4,街道が発達したのは参勤交代のおかげでもあるとわかった,友だちと話して考えた、ノートに自分でまとめ直した,
2026/09/01 14:47:54,S13,5,参勤交代は大名にお金を使わせるしくみでもあったとわかった,前に習ったことと結びつけた,
2026/09/01 14:38:03,S14,3,街道が発達したのは参勤交代のおかげでもあるとわかった,資料集・地図で調べた,とくにありません
2026/09/01 14:45:28,S15,5,わかった,資料集・地図で調べた,
2026/09/01 14:42:31,S16,4,大名行列にすごくお金がかかることがわかった,資料集・地図で調べた,
2026/09/01 14:52:21,S17,4,江戸に妻子を住まわせるのが人質の意味だと知っておどろいた,前に習ったことと結びつけた,
2026/09/01 14:39:16,S18,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった,資料集・地図で調べた,
2026/09/01 14:49:26,S19,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった。発表があると思うときんちょうする,ノートに自分でまとめ直した,
2026/09/01 14:49:14,S20,2,街道が発達したのは参勤交代のおかげでもあるとわかった,ノートに自分でまとめ直した,
2026/09/01 14:48:53,S21,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった,資料集・地図で調べた,
2026/09/01 14:52:29,S22,4,参勤交代は大名にお金を使わせるしくみでもあったとわかった,ノートに自分でまとめ直した,
2026/09/01 14:52:44,S23,3,ノートは写した,資料集・地図で調べた,
2026/09/01 14:49:24,S24,3,参勤交代は大名にお金を使わせるしくみでもあったとわかった,友だちと話して考えた,
2026/09/01 14:48:41,S25,3,街道が発達したのは参勤交代のおかげでもあるとわかった,ノートに自分でまとめ直した,
2026/09/01 14:49:35,S26,3,街道が発達したのは参勤交代のおかげでもあるとわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/01 14:46:05,S27,3,街道が発達したのは参勤交代のおかげでもあるとわかった,資料集・地図で調べた,
2026/09/01 14:44:41,S28,3,街道が発達したのは参勤交代のおかげでもあるとわかった,友だちと話して考えた,
2026/09/01 14:52:05,S29,5,街道が発達したのは参勤交代のおかげでもあるとわかった,先生に質問した,
2026/09/01 14:50:37,S30,3,大名行列にすごくお金がかかることがわかった,前に習ったことと結びつけた、ノートに自分でまとめ直した,
2026/09/02 14:44:00,S01,3,五人組でおたがいを見張らせるしくみがこわいと思った,資料集・地図で調べた,
2026/09/02 14:40:45,S02,4,身分ごとに住む場所や仕事が決められていたことがわかった,資料集・地図で調べた,今日の内容は現在の沖縄とつながりがありますか
2026/09/02 14:45:55,S03,4,身分ごとに住む場所や仕事が決められていたことがわかった,前に習ったことと結びつけた,
2026/09/02 14:42:04,S04,2,身分制度が年貢を確実に集めるためにあったとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,とくにありません
2026/09/02 14:50:37,S05,4,百姓が人口の大部分だったことがわかった,資料集・地図で調べた,
2026/09/02 14:44:51,S06,3,五人組でおたがいを見張らせるしくみがこわいと思った,ノートに自分でまとめ直した、資料集・地図で調べた,
2026/09/02 14:50:23,S07,4,五人組でおたがいを見張らせるしくみがこわいと思った,ノートに自分でまとめ直した,
2026/09/02 14:47:48,S08,3,身分制度が年貢を確実に集めるためにあったとわかった,資料集・地図で調べた,
2026/09/02 14:42:22,S09,3,身分制度と人々の暮らしをやった,どれもしていない,
2026/09/02 14:40:44,S10,3,身分ごとに住む場所や仕事が決められていたことがわかった,先生に質問した,とくにありません
2026/09/02 14:49:45,S11,4,五人組でおたがいを見張らせるしくみがこわいと思った,友だちと話して考えた,
2026/09/02 14:47:32,S12,4,身分ごとに住む場所や仕事が決められていたことがわかった,先生に質問した,
2026/09/02 14:40:01,S13,3,百姓が人口の大部分だったことがわかった,友だちと話して考えた,
2026/09/02 14:51:28,S14,4,身分ごとに住む場所や仕事が決められていたことがわかった,ノートに自分でまとめ直した,
2026/09/02 14:52:21,S15,4,かんたんだった,どれもしていない,
2026/09/02 14:40:59,S16,3,百姓が人口の大部分だったことがわかった,先生に質問した,
2026/09/02 14:44:33,S17,2,身分ごとに住む場所や仕事が決められていたことがわかった,ノートに自分でまとめ直した,
2026/09/02 14:40:07,S18,4,身分制度が年貢を確実に集めるためにあったとわかった,前に習ったことと結びつけた,
2026/09/02 14:41:08,S19,3,百姓が人口の大部分だったことがわかった,ノートに自分でまとめ直した,
2026/09/02 14:40:18,S20,2,身分ごとに住む場所や仕事が決められていたことがわかった,資料集・地図で調べた,
2026/09/02 14:41:18,S21,3,五人組でおたがいを見張らせるしくみがこわいと思った,先生に質問した,
2026/09/02 14:44:25,S22,1,身分ごとに住む場所や仕事が決められていたことがわかった,友だちと話して考えた,とくにありません
2026/09/02 14:38:26,S23,3,ノートは写した,資料集・地図で調べた,
2026/09/02 14:51:52,S24,2,身分制度が年貢を確実に集めるためにあったとわかった,ノートに自分でまとめ直した,
2026/09/02 14:41:54,S25,3,身分ごとに住む場所や仕事が決められていたことがわかった,友だちと話して考えた、前に習ったことと結びつけた,
2026/09/02 14:43:46,S26,3,身分ごとに住む場所や仕事が決められていたことがわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/02 14:42:21,S27,3,百姓が人口の大部分だったことがわかった,前に習ったことと結びつけた,とくにありません
2026/09/02 14:50:19,S28,2,五人組でおたがいを見張らせるしくみがこわいと思った,資料集・地図で調べた,
2026/09/02 14:39:20,S29,3,百姓が人口の大部分だったことがわかった,友だちと話して考えた,
2026/09/02 14:48:18,S30,4,身分ごとに住む場所や仕事が決められていたことがわかった,友だちと話して考えた、ノートに自分でまとめ直した,
2026/09/03 14:51:25,S01,3,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,友だちと話して考えた、資料集・地図で調べた,
2026/09/03 14:39:13,S02,3,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,資料集・地図で調べた,今日の内容は現在の沖縄とつながりがありますか
2026/09/03 14:47:13,S03,4,貿易の利益を幕府が独占したかったのだとわかった,前に習ったことと結びつけた,
2026/09/03 14:46:27,S04,2,禁教と貿易統制のどっちが先か混ざる,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/03 14:52:51,S05,2,島原・天草一揆のあとに鎖国が強まったとわかった,ノートに自分でまとめ直した,
2026/09/03 14:40:29,S06,2,貿易の利益を幕府が独占したかったのだとわかった,先生に質問した,とくにありません
2026/09/03 14:50:41,S07,4,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,友だちと話して考えた,
2026/09/03 14:44:28,S08,2,島原・天草一揆のあとに鎖国が強まったとわかった,先生に質問した,
2026/09/03 14:51:10,S09,3,禁教と貿易統制をやった,資料集・地図で調べた,
2026/09/03 14:49:12,S10,4,絵踏でキリシタンを見つけようとしたことを知った,友だちと話して考えた,
2026/09/03 14:51:44,S11,3,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,友だちと話して考えた,
2026/09/03 14:49:31,S12,4,貿易の利益を幕府が独占したかったのだとわかった,先生に質問した,
2026/09/03 14:45:58,S13,4,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,資料集・地図で調べた,
2026/09/03 14:50:32,S14,3,絵踏でキリシタンを見つけようとしたことを知った,前に習ったことと結びつけた,
2026/09/03 14:49:43,S15,5,特にむずかしくなかった,資料集・地図で調べた,
2026/09/03 14:38:49,S16,2,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,先生に質問した,
2026/09/03 14:39:10,S17,3,島原・天草一揆のあとに鎖国が強まったとわかった,資料集・地図で調べた,
2026/09/03 14:41:16,S18,1,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,前に習ったことと結びつけた,
2026/09/03 14:49:28,S19,3,貿易の利益を幕府が独占したかったのだとわかった,ノートに自分でまとめ直した,
2026/09/03 14:38:28,S20,2,貿易の利益を幕府が独占したかったのだとわかった,先生に質問した,
2026/09/03 14:41:57,S21,3,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,友だちと話して考えた,
2026/09/03 14:42:25,S22,3,貿易の利益を幕府が独占したかったのだとわかった,先生に質問した、友だちと話して考えた,
2026/09/03 14:40:53,S23,2,教科書を読んだ,どれもしていない,
2026/09/03 14:38:25,S24,2,貿易の利益を幕府が独占したかったのだとわかった,前に習ったことと結びつけた,
2026/09/03 14:41:40,S25,2,貿易の利益を幕府が独占したかったのだとわかった,ノートに自分でまとめ直した,
2026/09/03 14:51:59,S26,3,絵踏でキリシタンを見つけようとしたことを知った,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/03 14:48:07,S27,4,貿易の利益を幕府が独占したかったのだとわかった,資料集・地図で調べた,
2026/09/03 14:49:34,S28,3,島原・天草一揆のあとに鎖国が強まったとわかった,資料集・地図で調べた,
2026/09/03 14:41:47,S29,2,キリスト教を禁止した理由が幕府の支配とつながっているとわかった,前に習ったことと結びつけた,
2026/09/03 14:45:54,S30,2,貿易の利益を幕府が独占したかったのだとわかった,ノートに自分でまとめ直した,
2026/09/04 14:40:14,S01,2,長崎の出島でオランダと貿易していたとわかった,資料集・地図で調べた,
2026/09/04 14:47:59,S02,3,長崎の出島でオランダと貿易していたとわかった,前に習ったことと結びつけた,参勤交代のお金はだれが計算していたんですか
2026/09/04 14:43:59,S03,4,琉球王国が薩摩藩と中国の両方とつながっていたことが印象に残った,前に習ったことと結びつけた,
2026/09/04 14:41:52,S04,2,鎖国といっても四つの窓口が開いていたことにおどろいた,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/04 14:42:24,S05,4,対馬藩が朝鮮との窓口だったと知った,前に習ったことと結びつけた、資料集・地図で調べた,
2026/09/04 14:46:17,S06,3,長崎の出島でオランダと貿易していたとわかった,先生に質問した,
2026/09/04 14:40:32,S07,4,長崎の出島でオランダと貿易していたとわかった,ノートに自分でまとめ直した,
2026/09/04 14:42:26,S08,2,琉球王国が薩摩藩と中国の両方とつながっていたことが印象に残った,前に習ったことと結びつけた、資料集・地図で調べた,
2026/09/04 14:48:51,S09,3,鎖国下の四つの窓口をやった,資料集・地図で調べた,
2026/09/04 14:52:27,S10,3,対馬藩が朝鮮との窓口だったと知った,先生に質問した,
2026/09/04 14:47:01,S11,4,鎖国といっても四つの窓口が開いていたことにおどろいた,友だちと話して考えた,
2026/09/04 14:48:26,S12,2,鎖国といっても四つの窓口が開いていたことにおどろいた,ノートに自分でまとめ直した,
2026/09/04 14:50:00,S13,4,対馬藩が朝鮮との窓口だったと知った,先生に質問した,
2026/09/04 14:50:14,S14,1,鎖国といっても四つの窓口が開いていたことにおどろいた,友だちと話して考えた,
2026/09/04 14:39:03,S15,4,かんたんだった,資料集・地図で調べた,
2026/09/04 14:41:59,S16,4,琉球王国が薩摩藩と中国の両方とつながっていたことが印象に残った,前に習ったことと結びつけた,
2026/09/04 14:38:55,S17,4,鎖国といっても四つの窓口が開いていたことにおどろいた,先生に質問した,
2026/09/04 14:38:40,S18,3,鎖国といっても四つの窓口が開いていたことにおどろいた,前に習ったことと結びつけた,とくにありません
2026/09/04 14:52:08,S19,3,長崎の出島でオランダと貿易していたとわかった,友だちと話して考えた,
2026/09/04 14:49:11,S20,3,対馬藩が朝鮮との窓口だったと知った,資料集・地図で調べた,
2026/09/04 14:52:39,S21,2,長崎の出島でオランダと貿易していたとわかった,資料集・地図で調べた,
2026/09/04 14:49:11,S22,3,長崎の出島でオランダと貿易していたとわかった,友だちと話して考えた、ノートに自分でまとめ直した,
2026/09/04 14:43:23,S23,2,何となくわかった,資料集・地図で調べた,
2026/09/04 14:48:16,S24,3,対馬藩が朝鮮との窓口だったと知った,ノートに自分でまとめ直した,
2026/09/04 14:49:04,S25,2,長崎の出島でオランダと貿易していたとわかった,先生に質問した,
2026/09/04 14:51:14,S26,3,長崎の出島でオランダと貿易していたとわかった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/04 14:48:23,S27,4,対馬藩が朝鮮との窓口だったと知った,友だちと話して考えた,とくにありません
2026/09/04 14:44:48,S28,4,対馬藩が朝鮮との窓口だったと知った,先生に質問した,
2026/09/04 14:38:21,S29,3,鎖国といっても四つの窓口が開いていたことにおどろいた,先生に質問した,
2026/09/04 14:51:30,S30,4,琉球王国が薩摩藩と中国の両方とつながっていたことが印象に残った,友だちと話して考えた,とくにありません
2026/09/07 14:43:23,S01,4,新田開発で耕地が倍近くに増えたことがわかった,前に習ったことと結びつけた,
2026/09/07 14:52:34,S02,3,備中ぐわや千歯こきで農作業が楽になったとわかった,資料集・地図で調べた,五人組は本当に密告したんですか
2026/09/07 14:49:23,S03,4,備中ぐわや千歯こきで農作業が楽になったとわかった,前に習ったことと結びつけた,
2026/09/07 14:51:31,S04,2,肥料を買うようになって農村にもお金が入りこんだとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/07 14:47:55,S05,2,新田開発で耕地が倍近くに増えたことがわかった,資料集・地図で調べた,
2026/09/07 14:50:27,S06,3,備中ぐわや千歯こきで農作業が楽になったとわかった,友だちと話して考えた,とくにありません
2026/09/07 14:52:23,S07,4,新田開発で耕地が倍近くに増えたことがわかった,友だちと話して考えた,
2026/09/07 14:52:35,S08,3,新田開発で耕地が倍近くに増えたことがわかった,前に習ったことと結びつけた,
2026/09/07 14:41:01,S09,3,農業の発達と新田開発をやった,どれもしていない,
2026/09/07 14:48:55,S10,3,肥料を買うようになって農村にもお金が入りこんだとわかった,ノートに自分でまとめ直した,
2026/09/07 14:39:29,S11,3,備中ぐわや千歯こきで農作業が楽になったとわかった,友だちと話して考えた,
2026/09/07 14:47:59,S12,3,備中ぐわや千歯こきで農作業が楽になったとわかった,ノートに自分でまとめ直した,
2026/09/07 14:51:18,S13,2,新田開発で耕地が倍近くに増えたことがわかった,前に習ったことと結びつけた、ノートに自分でまとめ直した,
2026/09/07 14:48:33,S14,4,備中ぐわや千歯こきで農作業が楽になったとわかった,資料集・地図で調べた、前に習ったことと結びつけた,
2026/09/07 14:49:14,S15,4,ふつうにわかった,資料集・地図で調べた,
2026/09/07 14:52:20,S16,4,備中ぐわや千歯こきで農作業が楽になったとわかった,資料集・地図で調べた,
2026/09/07 14:51:51,S17,5,新田開発で耕地が倍近くに増えたことがわかった,前に習ったことと結びつけた,
2026/09/07 14:39:00,S18,3,商品作物を売ってお金を得る農家が出てきたとわかった,資料集・地図で調べた,
2026/09/07 14:52:18,S19,3,備中ぐわや千歯こきで農作業が楽になったとわかった,ノートに自分でまとめ直した,
2026/09/07 14:46:55,S20,2,新田開発で耕地が倍近くに増えたことがわかった,友だちと話して考えた,
2026/09/07 14:41:18,S21,3,肥料を買うようになって農村にもお金が入りこんだとわかった,友だちと話して考えた,
2026/09/07 14:46:40,S22,2,肥料を買うようになって農村にもお金が入りこんだとわかった,友だちと話して考えた,
2026/09/07 14:39:10,S23,2,教科書を読んだ,資料集・地図で調べた,
2026/09/07 14:41:10,S24,2,商品作物を売ってお金を得る農家が出てきたとわかった,先生に質問した,
2026/09/07 14:40:21,S25,4,備中ぐわや千歯こきで農作業が楽になったとわかった,先生に質問した,
2026/09/07 14:40:37,S26,3,肥料を買うようになって農村にもお金が入りこんだとわかった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/07 14:40:08,S27,4,新田開発で耕地が倍近くに増えたことがわかった,前に習ったことと結びつけた,
2026/09/07 14:47:08,S28,3,備中ぐわや千歯こきで農作業が楽になったとわかった,前に習ったことと結びつけた,とくにありません
2026/09/07 14:39:45,S29,4,新田開発で耕地が倍近くに増えたことがわかった,前に習ったことと結びつけた,
2026/09/07 14:48:12,S30,4,備中ぐわや千歯こきで農作業が楽になったとわかった,ノートに自分でまとめ直した,
2026/09/08 14:44:37,S01,2,五街道が江戸を中心に整備されたことがわかった,資料集・地図で調べた,
2026/09/08 14:51:57,S02,4,三都(江戸・大阪・京都)の役割のちがいがわかった,資料集・地図で調べた,出島には日本人は入れたんですか
2026/09/08 14:39:04,S03,4,菱垣廻船や樽廻船で物が海路で運ばれたと知った,前に習ったことと結びつけた,
2026/09/08 14:48:52,S04,3,大阪が天下の台所と呼ばれた理由がわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,
2026/09/08 14:42:58,S05,4,菱垣廻船や樽廻船で物が海路で運ばれたと知った,ノートに自分でまとめ直した,とくにありません
2026/09/08 14:45:05,S06,2,大阪が天下の台所と呼ばれた理由がわかった,先生に質問した、ノートに自分でまとめ直した,
2026/09/08 14:51:25,S07,4,大阪が天下の台所と呼ばれた理由がわかった,ノートに自分でまとめ直した,
2026/09/08 14:44:23,S08,4,大阪が天下の台所と呼ばれた理由がわかった,先生に質問した,
2026/09/08 14:42:51,S09,3,都市と交通の発達をやった,どれもしていない,
2026/09/08 14:47:28,S10,4,三都(江戸・大阪・京都)の役割のちがいがわかった,友だちと話して考えた,
2026/09/08 14:49:19,S11,3,五街道が江戸を中心に整備されたことがわかった,友だちと話して考えた,
2026/09/08 14:38:18,S12,3,菱垣廻船や樽廻船で物が海路で運ばれたと知った,前に習ったことと結びつけた,
2026/09/08 14:51:59,S13,3,三都(江戸・大阪・京都)の役割のちがいがわかった,資料集・地図で調べた,
2026/09/08 14:52:57,S14,3,五街道が江戸を中心に整備されたことがわかった,先生に質問した,
2026/09/08 14:49:32,S15,5,ふつうにわかった,どれもしていない,
2026/09/08 14:47:28,S16,4,五街道が江戸を中心に整備されたことがわかった,ノートに自分でまとめ直した,
2026/09/08 14:39:38,S17,2,菱垣廻船や樽廻船で物が海路で運ばれたと知った,ノートに自分でまとめ直した,
2026/09/08 14:48:22,S18,4,三都(江戸・大阪・京都)の役割のちがいがわかった,資料集・地図で調べた,
2026/09/08 14:52:01,S19,3,三都(江戸・大阪・京都)の役割のちがいがわかった,友だちと話して考えた,
2026/09/08 14:48:42,S20,2,五街道が江戸を中心に整備されたことがわかった,前に習ったことと結びつけた,
2026/09/08 14:49:05,S21,4,三都(江戸・大阪・京都)の役割のちがいがわかった,先生に質問した,
2026/09/08 14:41:38,S22,3,大阪が天下の台所と呼ばれた理由がわかった,ノートに自分でまとめ直した,とくにありません
2026/09/08 14:42:40,S23,2,何となくわかった,資料集・地図で調べた,
2026/09/08 14:42:08,S24,4,三都(江戸・大阪・京都)の役割のちがいがわかった,ノートに自分でまとめ直した,
2026/09/08 14:40:55,S25,5,大阪が天下の台所と呼ばれた理由がわかった,ノートに自分でまとめ直した,
2026/09/08 14:39:44,S26,4,菱垣廻船や樽廻船で物が海路で運ばれたと知った。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/08 14:47:32,S27,4,大阪が天下の台所と呼ばれた理由がわかった,資料集・地図で調べた,
2026/09/08 14:51:37,S28,3,五街道が江戸を中心に整備されたことがわかった,友だちと話して考えた,
2026/09/08 14:46:53,S29,3,大阪が天下の台所と呼ばれた理由がわかった,前に習ったことと結びつけた,
2026/09/08 14:47:12,S30,4,五街道が江戸を中心に整備されたことがわかった,ノートに自分でまとめ直した,
2026/09/09 14:48:55,S01,1,両替商が今の銀行みたいな仕事をしていたとわかった,ノートに自分でまとめ直した,
2026/09/09 14:45:18,S02,3,両替商が今の銀行みたいな仕事をしていたとわかった,資料集・地図で調べた,今日の内容は現在の沖縄とつながりがありますか
2026/09/09 14:40:56,S03,4,両替商が今の銀行みたいな仕事をしていたとわかった。前の単元の楽市楽座と比べた,前に習ったことと結びつけた,
2026/09/09 14:38:10,S04,1,蔵屋敷とお金の流れが図にしないとわからない,ノートに自分でまとめ直した,
2026/09/09 14:42:46,S05,2,株仲間が営業を独占するかわりに税を納めていたとわかった,先生に質問した,
2026/09/09 14:49:21,S06,3,株仲間が営業を独占するかわりに税を納めていたとわかった,先生に質問した,とくにありません
2026/09/09 14:40:30,S07,3,株仲間が営業を独占するかわりに税を納めていたとわかった,ノートに自分でまとめ直した,
2026/09/09 14:46:48,S08,2,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,ノートに自分でまとめ直した,
2026/09/09 14:43:11,S09,3,貨幣経済と株仲間をやった,資料集・地図で調べた,
2026/09/09 14:47:44,S10,3,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,ノートに自分でまとめ直した,
2026/09/09 14:38:54,S11,2,お金のしくみの話になるとわからなくなる,友だちと話して考えた,
2026/09/09 14:48:25,S12,3,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,資料集・地図で調べた,
2026/09/09 14:41:16,S13,2,両替商が今の銀行みたいな仕事をしていたとわかった,友だちと話して考えた,
2026/09/09 14:47:41,S14,2,金・銀・銭の三種類のお金が使われていたと知った,ノートに自分でまとめ直した,
2026/09/09 14:40:48,S15,4,わかった,どれもしていない,
2026/09/09 14:45:06,S16,3,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,先生に質問した,とくにありません
2026/09/09 14:40:39,S17,3,両替商が今の銀行みたいな仕事をしていたとわかった,ノートに自分でまとめ直した,
2026/09/09 14:47:09,S18,3,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,友だちと話して考えた,
2026/09/09 14:45:24,S19,2,金・銀・銭の三種類のお金が使われていたと知った,ノートに自分でまとめ直した,
2026/09/09 14:45:59,S20,3,両替商が今の銀行みたいな仕事をしていたとわかった,先生に質問した,
2026/09/09 14:43:28,S21,3,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,友だちと話して考えた,
2026/09/09 14:41:04,S22,1,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,前に習ったことと結びつけた,
2026/09/09 14:49:13,S23,2,むずかしかった,資料集・地図で調べた,
2026/09/09 14:47:14,S24,2,両替商が今の銀行みたいな仕事をしていたとわかった,先生に質問した,
2026/09/09 14:51:03,S25,3,株仲間が営業を独占するかわりに税を納めていたとわかった,先生に質問した,
2026/09/09 14:39:15,S26,2,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/09 14:41:54,S27,4,両替商が今の銀行みたいな仕事をしていたとわかった,資料集・地図で調べた,
2026/09/09 14:48:01,S28,1,蔵屋敷で年貢米がお金にかえられるしくみが少しわかった,友だちと話して考えた,
2026/09/09 14:39:35,S29,3,両替商が今の銀行みたいな仕事をしていたとわかった,前に習ったことと結びつけた,
2026/09/09 14:44:31,S30,3,金・銀・銭の三種類のお金が使われていたと知った,先生に質問した,
2026/09/10 14:43:05,S01,4,元禄文化は上方の町人の文化だとわかった。授業が楽しかった,前に習ったことと結びつけた,
2026/09/10 14:41:54,S02,4,元禄文化は上方の町人の文化だとわかった,資料集・地図で調べた,今日の内容は現在の沖縄とつながりがありますか
2026/09/10 14:44:29,S03,5,元禄文化は上方の町人の文化だとわかった,前に習ったことと結びつけた,
2026/09/10 14:38:51,S04,3,元禄と化政のちがいをまだ言えない,ノートに自分でまとめ直した,
2026/09/10 14:42:43,S05,4,井原西鶴が町人の生活を小説にしたとわかった,友だちと話して考えた,
